College Name,City,Branch,Category,Cutoff
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,91.05
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,94.72
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,88.78
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,77.95
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,89.67
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,90.63
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,87.78
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,94.54
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,91.28
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,43.66
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,21.3
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,87.93
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,82.14
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,94.54
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,32.68
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,84.33
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,37.2
"01002 - Government College of Engineering, Amravati",Amravati,Electronics and Telecommunication Engg,OPEN,89.54
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,86.41
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,80.35
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,14.31
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,75.61
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,82.84
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,84.64
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,84.97
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,79.98
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,87.92
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,79.89
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,72.38
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,87.41
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,82.33
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,67.82
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,88.68
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,65.52
"01002 - Government College of Engineering, Amravati",Amravati,Instrumentation Engineering,OPEN,8.34
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,89.86
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,84.04
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,51.57
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,77.16
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,85.19
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,89.64
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,87.03
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,88.76
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,81.65
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,87.14
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,81.77
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,56.5
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,77.23
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,85.19
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,73.63
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,16.44
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,84.5
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,41.75
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,89.29
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,57.01
"01002 - Government College of Engineering, Amravati",Amravati,Mechanical Engineering,OPEN,76.77
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,93.62
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,89.74
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,86.82
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,93.45
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,97.68
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,93.12
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,85.02
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,98.64
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,89.04
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,75.89
"01002 - Government College of Engineering, Amravati",Amravati,Food Technology,OPEN,86.99
