College Code,College Name,Choice Code,Course Name,Stage,Category,Cutoff Rank,Percentile,City
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,LSTS,89472,71.5562808,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,LVJS,63174,80.9669596,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,LNT1S,37913,88.7700729,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,LOBCS,30147,91.0820780,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,LSEBCS,54480,83.5597353,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,PWDOPENS,97352,68.4887011,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,PWDOBCS,131185,53.6060165,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,DEFOPENS,56683,82.8811189,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,DEFOBCS,84091,73.5570613,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,TFWS,31810,90.6536517,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,PWDRSCS,99969,67.8210479,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,DEFROBCS,64751,80.3531469,Amravati
01002,"Government College of Engineering, Amravati",0100229310,Electrical Engineering,I,EWS,58738,82.2162613,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,GOPENS,17151,95.0636221,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,GSCS,36725,89.1962092,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,GSTS,116393,60.4221150,Amravati
01002,"Government College of Engineering, Amravati",0100237210,Electronics and Telecommunication Engg,I,GVJS,37532,88.9550679,Amravati
